Females with 6 sex partners,1,,,Females with 5 sex partners,2,,,Females with 4 sex partners,3,,,Females with 3 sex partners,4,,,Females with 2 sex partners,5,,,Females with 1 sex partner,6,,,Males with 6 sex partners,7,,,Males with 5 sex partners,8,,,Males with 4 sex partners,9,,,Males with 3 sex partners,10,,,Males with 2 sex partners,11,,,Males with 1 sex partners,12
3,102,,,3,52,,,3,105,,,3,204,,,3,369,,,3,945,,,3,195,,,3,86,,,3,89,,,3,202,,,3,354,,,3,820
2,66,,,2,27,,,2,39,,,2,70,,,2,75,,,2,115,,,2,117,,,2,26,,,2,48,,,2,60,,,2,86,,,2,104
